time,green,red,yellow,net(g-r)
1781881495.1,31,10,10,21
1781881496.1,31,13,16,18
1781881497.1,0,10,16,-10
1781881498.1,0,10,60,-10
1781881499.1,0,10,63,-10
1781881500.1,0,13,1,-13
1781881501.1,0,10,10,-10
1781881502.1,0,10,0,-10
1781881503.1,30,10,61,20
1781881847.6,30,10,61,20
1781881852.6,0,0,36,0
1781881854.6,1,0,0,1
1781881855.6,1,3,6,-2
1781881856.6,1,0,6,1
1781881858.6,1,0,0,1
1781881859.6,6,0,33,6
1781881860.6,1,1,32,0
1781881862.6,1,1,0,0
1781881863.6,1,1,6,0
1781881865.6,1,1,1,0
1781881868.6,1,1,2,0
1781881869.6,1,6,2,-5
1781881872.6,6,6,2,0
1781881873.6,6,1,2,5
1781881876.6,6,6,2,0
1781881881.6,6,0,2,6
1781881884.6,6,1,6,5
1781881889.6,6,1,2,5
1781881890.6,0,1,0,-1
1781881891.6,6,1,0,5
1781881892.6,6,0,2,6
1781881893.6,6,6,2,0
1781881894.6,0,0,0,0
1781881895.6,0,0,6,0
1781881896.6,0,0,1,0
1781881897.6,1,0,2,1
1781881898.6,1,13,6,-12
1781881902.6,1,13,2,-12
1781881903.6,1,13,6,-12
1781881904.6,1,6,0,-5
1781881906.6,1,11,6,-10
1781881907.6,0,6,0,-6
1781881908.6,0,6,6,-6
1781881909.6,0,6,0,-6
1781881911.6,0,6,2,-6
1781881912.6,0,11,6,-11
1781881916.6,0,3,1,-3
1781881917.6,0,0,2,0
1781881920.6,0,1,2,-1
1781881921.6,1,1,2,0
1781881925.6,6,1,2,5
1781881929.6,6,6,2,0
1781881934.6,6,6,6,0
1781881935.6,6,6,2,0
1781881936.6,0,6,2,-6
1781881939.6,3,6,2,-3
1781881940.6,0,6,2,-6
1781881942.6,3,1,2,2
1781881943.6,3,1,0,2
1781881944.6,10,1,0,9
1781881945.6,31,6,0,25
1781881946.6,11,6,1,5
1781881948.6,13,6,0,7
1781881950.6,13,6,2,7
1781881951.6,13,0,2,13
1781881955.6,16,0,2,16
1781881956.6,16,6,6,10
1781881958.6,16,6,,10
1781881959.6,16,,31,
1781881960.6,16,1,11,15
1781881961.6,16,6,11,10
1781881963.6,,6,11,
1781881964.6,11,6,11,5
1781881965.6,16,6,3,10
1781881966.6,16,0,,16
1781881967.6,16,6,,10
1781881968.6,0,6,6,-6
1781881969.6,0,6,3,-6
1781881970.6,0,0,,0
1781881971.6,16,0,,16
1781881972.6,10,0,,10
1781881975.6,10,0,1,10
1781881976.6,6,0,1,6
1781881977.6,6,0,0,6
1781881979.6,3,6,0,-3
1781881980.6,6,0,0,6
1781881982.6,11,0,0,11
1781881983.6,11,13,0,-2
1781881984.6,11,16,,-5
1781881985.6,11,66,1,-55
1781881986.6,11,6,3,5
1781881987.6,0,6,,-6
1781881988.6,0,6,1,-6
1781881990.6,6,6,1,0
